name,type,mode,value,description,scope
semantic/fg-secondary,color,light,{primitive/zinc/600},"Supporting text, labels, captions on aura-bg-surface / -canvas / -surface-hover (≥5.8:1 both themes).",TEXT_FILL
semantic/fg-tertiary,color,light,{primitive/zinc/500},"Placeholders, hints, timestamps, breadcrumb separators. Fixed in 4.1 to pass AA: 4.8:1 light / 5.5:1 dark on aura-bg-surface, ≥4.6:1 on -canvas and -surface-hover. Not for text on aura-bg-selected (4.4:1).",TEXT_FILL
semantic/fg-inverted,color,light,{primitive/zinc/0},Text on aura-bg-surface-strong and aura-bg-inverted (17.7:1).,TEXT_FILL
semantic/fg-accent,color,light,{primitive/violet/700},"Links and accent text on aura-bg-surface / -canvas (≥6.8:1 light, ≥9.6:1 dark).",TEXT_FILL
semantic/border-default,color,light,{primitive/zinc/200},"Hairline dividers and card/table outlines. Decorative only: ~1.3:1, below the 3:1 a control boundary needs.",STROKE_COLOR
semantic/border-strong,color,light,{primitive/zinc/900},Creative 2px borders and any boundary that must be seen (17.7:1).,STROKE_COLOR
semantic/border-subtle,color,light,{primitive/zinc/100},Faintest separators inside a surface (e.g. between grouped list items).,STROKE_COLOR
semantic/accent-dot,color,light,{primitive/lime/200},The lime signal dot beside the AURA wordmark and live/status dots. Visible on dark and strong grounds; invisible on white (1.17:1).,ALL_FILLS
semantic/accent-violet,color,light,{primitive/violet/700},"Violet accent fills and marks (selection, focus-adjacent emphasis, charts' first series).",ALL_FILLS
semantic/accent-lime,color,light,{primitive/lime/200},"Lime accent fill (highlights, the Ready status). Label on it in aura-ink.",ALL_FILLS
semantic/focus-ring,color,light,{primitive/violet/700},"Keyboard focus ring on every interactive element: 2px solid, 2px offset. Lands on aura-bg-surface / -canvas / -surface-hover at ≥6.8:1 light and ≥5.4:1 dark. On mesh and grain surfaces the ring switches to aura-on-texture (violet-700 on the violet-400 pool is only 2.6:1). ADDED — the source defines no focus style.",ALL_FILLS
semantic/mesh-from,color,light,{primitive/violet/400},Creative mesh: the violet pool (top-left). Same in both themes — mesh is a light-surface treatment. ADDED from the source's 'violet → lime gradient'.,ALL_FILLS
semantic/mesh-to,color,light,{primitive/lime/200},Creative mesh: the lime pool (bottom-right).,ALL_FILLS
semantic/mesh-ground,color,light,{primitive/white},Creative mesh: the ground between the pools.,ALL_FILLS
semantic/on-texture,color,light,{primitive/ink},"Text and icons on a mesh or grain surface in every theme: ≥7.3:1 on the darkest mesh point (violet-400), 15:1 on lime, 20:1 on white.",ALL_FILLS
semantic/grain,color,light,{primitive/ink},"Grain speckle colour, drawn at aura-grain-opacity. Visible only on light grounds.",ALL_FILLS
semantic/status-neutral-bg,color,light,{primitive/zinc/100},"Status pill fill for not-started / unknown states (To Do, Draft). Dark theme uses a quiet zinc-800 fill so it sits below the coloured states. ADDED.",ALL_FILLS
semantic/status-neutral-fg,color,light,{primitive/zinc/700},"Label and icon on aura-status-neutral-bg (light 9.5:1, dark zinc-300 on zinc-800).",ALL_FILLS
semantic/status-progress-bg,color,light,{primitive/violet/100},"Status pill fill for work under way (In Progress, In Review). Dark: a quiet violet-tinted fill (violet-500 at 20% over zinc-900) so the pill sits below the row text. ADDED; dark 4.11.",ALL_FILLS
semantic/status-progress-fg,color,light,{primitive/violet/800},"Label and icon on aura-status-progress-bg (light 7.6:1; dark violet-300, 7.6:1).",ALL_FILLS
semantic/status-ready-bg,color,light,{primitive/lime/200},"Status pill fill for finished / good states (Ready, Done). The source's lime pill. Dark: a lime-tinted fill (lime-400 at 14% over zinc-900). ADDED as a named token; dark 4.11.",ALL_FILLS
semantic/status-ready-fg,color,light,{primitive/ink},"Label and icon on aura-status-ready-bg (light 15.2:1; dark lime-300, 9.9:1).",ALL_FILLS
semantic/status-blocked-bg,color,light,{primitive/red/700},"Status pill fill for stopped / failed states (Blocked, Failed). Dark on purpose: 5.5:1 lighter-to-darker against the lime Ready fill, so Ready and Blocked differ by lightness, not only red vs green. ADDED.",ALL_FILLS
semantic/status-blocked-fg,color,light,{primitive/white},Label and icon on aura-status-blocked-bg (6.5:1).,ALL_FILLS
semantic/status-warning-bg,color,light,{primitive/amber/600},"Status pill fill for states that need attention but still work (Warning, Problem, Degraded, At risk). A solid amber (amber-600 light, amber-500 dark) that differs from Ready and Blocked by lightness too, not only hue: 2.7:1 from lime-200 and 2.0:1 from red-700 in light; 6.0:1 from the dark Ready fill and 3.0:1 from red-700 in dark. Always with the word and the triangle-alert icon. ADDED 5.1.",ALL_FILLS
semantic/status-warning-fg,color,light,{primitive/ink},"Label and icon on aura-status-warning-bg: ink, 6.3:1 light, 9.3:1 dark.",ALL_FILLS
semantic/bg-selected,color,light,{primitive/violet/50},"Selected table rows and list items. Opaque so pinned columns can sit on it (dark = a 14% violet-400 wash over zinc-900, flattened). aura-fg-primary on it ≥14.2:1, aura-fg-secondary ≥5.5:1, focus ring ≥5.2:1 in both themes. ADDED.",FRAME_FILL
semantic/border-control,color,light,{primitive/zinc/500},"Outline of unchecked checkboxes and other small controls that must be seen: ≥4.4:1 on aura-bg-surface, -canvas and aura-bg-selected (the 3:1 a control boundary needs). ADDED.",STROKE_COLOR
semantic/bg-skeleton,color,light,{primitive/zinc/200},zinc-200 light / zinc-700 dark so bars read on white and on zinc-900 surfaces. Skeleton placeholder bars while a table or list loads. Decorative; the table carries aria-busy and a 'Loading rows' status for screen readers. ADDED.,FRAME_FILL
semantic/fg-danger,color,light,{primitive/red/700},"Error messages, destructive labels and invalid-field text on aura-bg-surface / -canvas: ≥6.2:1 light, ≥5.4:1 dark. ADDED.",TEXT_FILL
semantic/border-danger,color,light,{primitive/red/700},Outline of an invalid input (≥5.4:1 on its ground). ADDED.,STROKE_COLOR
semantic/bg-input,color,light,{primitive/zinc/0},"Text fields, selects, textareas. Always paired with a 1px aura-border-control outline. ADDED.",FRAME_FILL
semantic/bg-input-disabled,color,light,{primitive/zinc/50},Disabled and read-only inputs; text on it stays aura-fg-secondary. ADDED.,FRAME_FILL
semantic/bg-scrim,color,light,"rgba(8,8,10,0.48)",The dimmed layer behind a Dialog. ADDED.,FRAME_FILL
semantic/alert-info-bg,color,light,{primitive/violet/50},Info alert fill. ADDED.,ALL_FILLS
semantic/alert-info-fg,color,light,{primitive/violet/800},"Info alert title and icon: 8.2:1 light, 7.7:1 dark. Body text on the fill stays aura-fg-primary.",ALL_FILLS
semantic/alert-info-border,color,light,{primitive/violet/200},Info alert 1px edge (decorative).,ALL_FILLS
semantic/alert-success-bg,color,light,{primitive/lime/50},Success alert fill. ADDED.,ALL_FILLS
semantic/alert-success-fg,color,light,{primitive/lime/800},"Success alert title and icon: 6.8:1 light, 10.4:1 dark.",ALL_FILLS
semantic/alert-success-border,color,light,{primitive/lime/200},Success alert 1px edge (decorative).,ALL_FILLS
semantic/alert-warning-bg,color,light,{primitive/amber/50},Warning alert fill. ADDED.,ALL_FILLS
semantic/alert-warning-fg,color,light,{primitive/amber/800},"Warning alert title and icon: 6.8:1 light, 9.6:1 dark.",ALL_FILLS
semantic/alert-warning-border,color,light,{primitive/amber/200},Warning alert 1px edge (decorative).,ALL_FILLS
semantic/alert-danger-bg,color,light,{primitive/red/50},Danger alert fill. ADDED.,ALL_FILLS
semantic/alert-danger-fg,color,light,{primitive/red/700},"Danger alert title and icon: 5.9:1 light, 8.1:1 dark.",ALL_FILLS
semantic/alert-danger-border,color,light,{primitive/red/200},Danger alert 1px edge (decorative).,ALL_FILLS
semantic/fg-positive,color,light,{primitive/lime/800},"Rising-and-good numbers (Stat change, positive deltas) on aura-bg-surface / -canvas. Never on lime fills. ADDED 4.3.",TEXT_FILL
semantic/chart-1,color,light,#5e2cb5,"Categorical chart colours chart-1…8, in this order: violet, teal, orange, blue, magenta, green, gold, rose. Every one is ≥3:1 on bg-surface and bg-canvas in both themes (WCAG 1.4.11), and neighbours alternate dark/mid lightness (about 2:1 apart) so they stay apart under colour-blindness. chart-1 follows the brand in createTheme. Label series too; colour is never the only cue. ADDED 4.10.",ALL_FILLS
semantic/chart-2,color,light,#0a8b7a,,ALL_FILLS
semantic/chart-3,color,light,#803900,,ALL_FILLS
semantic/chart-4,color,light,#057ed8,,ALL_FILLS
semantic/chart-5,color,light,#95006c,,ALL_FILLS
semantic/chart-6,color,light,#2a8e02,,ALL_FILLS
semantic/chart-7,color,light,#634902,,ALL_FILLS
semantic/chart-8,color,light,#e23d4e,,ALL_FILLS
semantic/chart-seq-1,color,light,#9972fe,Sequential ramp chart-seq-1…5 (low → high) for heatmaps and ordered buckets. seq-1 is the value closest to the surface; every step ≥3:1 on bg-surface. Brand hue in createTheme. ADDED 4.10.,ALL_FILLS
semantic/chart-seq-2,color,light,#8056df,,ALL_FILLS
semantic/chart-seq-3,color,light,#693ac3,,ALL_FILLS
semantic/chart-seq-4,color,light,#541ca8,,ALL_FILLS
semantic/chart-seq-5,color,light,#3f0087,,ALL_FILLS
semantic/chart-grid,color,light,{primitive/zinc/200},"Chart grid lines. Decorative, no contrast target. ADDED 4.10.",ALL_FILLS
semantic/chart-axis,color,light,{primitive/zinc/600},"Axis lines, ticks and tick labels (text: 4.5:1 on bg-surface and bg-canvas). ADDED 4.10.",ALL_FILLS
semantic/bg-surface,color,dark,{primitive/zinc/900},"Default surface: cards, tables, panels, page body. Grounds aura-fg-primary, -secondary and -accent.",FRAME_FILL
semantic/bg-surface-hover,color,dark,{primitive/zinc/800},"Hover fill for rows, secondary buttons and list items. aura-fg-primary and -secondary still pass on it (≥5.8:1).",FRAME_FILL
semantic/bg-surface-strong,color,dark,{primitive/zinc/0},"High-emphasis block (the wordmark tile, inverted callouts). Text on it: aura-fg-inverted.",FRAME_FILL
semantic/bg-canvas,color,dark,{primitive/zinc/950},App background behind surfaces; the data-table header band.,FRAME_FILL
semantic/bg-inverted,color,dark,{primitive/zinc/0},Inverted ground: tooltips. Text on it: aura-fg-inverted (17.7:1).,FRAME_FILL
semantic/fg-primary,color,dark,{primitive/zinc/0},Body and heading text on aura-bg-surface and aura-bg-canvas (≥16.9:1 both themes).,TEXT_FILL
semantic/fg-secondary,color,dark,{primitive/zinc/400},"Supporting text, labels, captions on aura-bg-surface / -canvas / -surface-hover (≥5.8:1 both themes).",TEXT_FILL
semantic/fg-tertiary,color,dark,{primitive/zinc/450},"Placeholders, hints, timestamps, breadcrumb separators. Fixed in 4.1 to pass AA: 4.8:1 light / 5.5:1 dark on aura-bg-surface, ≥4.6:1 on -canvas and -surface-hover. Not for text on aura-bg-selected (4.4:1).",TEXT_FILL
semantic/fg-inverted,color,dark,{primitive/zinc/900},Text on aura-bg-surface-strong and aura-bg-inverted (17.7:1).,TEXT_FILL
semantic/fg-accent,color,dark,{primitive/violet/300},"Links and accent text on aura-bg-surface / -canvas (≥6.8:1 light, ≥9.6:1 dark).",TEXT_FILL
semantic/border-default,color,dark,"rgba(255,255,255,0.1)","Hairline dividers and card/table outlines. Decorative only: ~1.3:1, below the 3:1 a control boundary needs.",STROKE_COLOR
semantic/border-strong,color,dark,{primitive/zinc/0},Creative 2px borders and any boundary that must be seen (17.7:1).,STROKE_COLOR
semantic/border-subtle,color,dark,"rgba(255,255,255,0.06)",Faintest separators inside a surface (e.g. between grouped list items).,STROKE_COLOR
semantic/accent-dot,color,dark,{primitive/lime/200},The lime signal dot beside the AURA wordmark and live/status dots. Visible on dark and strong grounds; invisible on white (1.17:1).,ALL_FILLS
semantic/accent-violet,color,dark,{primitive/violet/400},"Violet accent fills and marks (selection, focus-adjacent emphasis, charts' first series).",ALL_FILLS
semantic/accent-lime,color,dark,{primitive/lime/200},"Lime accent fill (highlights, the Ready status). Label on it in aura-ink.",ALL_FILLS
semantic/focus-ring,color,dark,{primitive/violet/400},"Keyboard focus ring on every interactive element: 2px solid, 2px offset. Lands on aura-bg-surface / -canvas / -surface-hover at ≥6.8:1 light and ≥5.4:1 dark. On mesh and grain surfaces the ring switches to aura-on-texture (violet-700 on the violet-400 pool is only 2.6:1). ADDED — the source defines no focus style.",ALL_FILLS
semantic/mesh-from,color,dark,{primitive/violet/400},Creative mesh: the violet pool (top-left). Same in both themes — mesh is a light-surface treatment. ADDED from the source's 'violet → lime gradient'.,ALL_FILLS
semantic/mesh-to,color,dark,{primitive/lime/200},Creative mesh: the lime pool (bottom-right).,ALL_FILLS
semantic/mesh-ground,color,dark,{primitive/white},Creative mesh: the ground between the pools.,ALL_FILLS
semantic/on-texture,color,dark,{primitive/ink},"Text and icons on a mesh or grain surface in every theme: ≥7.3:1 on the darkest mesh point (violet-400), 15:1 on lime, 20:1 on white.",ALL_FILLS
semantic/grain,color,dark,{primitive/ink},"Grain speckle colour, drawn at aura-grain-opacity. Visible only on light grounds.",ALL_FILLS
semantic/status-neutral-bg,color,dark,{primitive/zinc/800},"Status pill fill for not-started / unknown states (To Do, Draft). Dark theme uses a quiet zinc-800 fill so it sits below the coloured states. ADDED.",ALL_FILLS
semantic/status-neutral-fg,color,dark,{primitive/zinc/300},"Label and icon on aura-status-neutral-bg (light 9.5:1, dark zinc-300 on zinc-800).",ALL_FILLS
semantic/status-progress-bg,color,dark,#2f2647,"Status pill fill for work under way (In Progress, In Review). Dark: a quiet violet-tinted fill (violet-500 at 20% over zinc-900) so the pill sits below the row text. ADDED; dark 4.11.",ALL_FILLS
semantic/status-progress-fg,color,dark,{primitive/violet/300},"Label and icon on aura-status-progress-bg (light 7.6:1; dark violet-300, 7.6:1).",ALL_FILLS
semantic/status-ready-bg,color,dark,#2b351f,"Status pill fill for finished / good states (Ready, Done). The source's lime pill. Dark: a lime-tinted fill (lime-400 at 14% over zinc-900). ADDED as a named token; dark 4.11.",ALL_FILLS
semantic/status-ready-fg,color,dark,{primitive/lime/300},"Label and icon on aura-status-ready-bg (light 15.2:1; dark lime-300, 9.9:1).",ALL_FILLS
semantic/status-blocked-bg,color,dark,{primitive/red/700},"Status pill fill for stopped / failed states (Blocked, Failed). Dark on purpose: 5.5:1 lighter-to-darker against the lime Ready fill, so Ready and Blocked differ by lightness, not only red vs green. ADDED.",ALL_FILLS
semantic/status-blocked-fg,color,dark,{primitive/white},Label and icon on aura-status-blocked-bg (6.5:1).,ALL_FILLS
semantic/status-warning-bg,color,dark,{primitive/amber/500},"Status pill fill for states that need attention but still work (Warning, Problem, Degraded, At risk). A solid amber (amber-600 light, amber-500 dark) that differs from Ready and Blocked by lightness too, not only hue: 2.7:1 from lime-200 and 2.0:1 from red-700 in light; 6.0:1 from the dark Ready fill and 3.0:1 from red-700 in dark. Always with the word and the triangle-alert icon. ADDED 5.1.",ALL_FILLS
semantic/status-warning-fg,color,dark,{primitive/ink},"Label and icon on aura-status-warning-bg: ink, 6.3:1 light, 9.3:1 dark.",ALL_FILLS
semantic/bg-selected,color,dark,#2c283a,"Selected table rows and list items. Opaque so pinned columns can sit on it (dark = a 14% violet-400 wash over zinc-900, flattened). aura-fg-primary on it ≥14.2:1, aura-fg-secondary ≥5.5:1, focus ring ≥5.2:1 in both themes. ADDED.",FRAME_FILL
semantic/border-control,color,dark,{primitive/zinc/400},"Outline of unchecked checkboxes and other small controls that must be seen: ≥4.4:1 on aura-bg-surface, -canvas and aura-bg-selected (the 3:1 a control boundary needs). ADDED.",STROKE_COLOR
semantic/bg-skeleton,color,dark,{primitive/zinc/700},zinc-200 light / zinc-700 dark so bars read on white and on zinc-900 surfaces. Skeleton placeholder bars while a table or list loads. Decorative; the table carries aria-busy and a 'Loading rows' status for screen readers. ADDED.,FRAME_FILL
semantic/fg-danger,color,dark,{primitive/red/400},"Error messages, destructive labels and invalid-field text on aura-bg-surface / -canvas: ≥6.2:1 light, ≥5.4:1 dark. ADDED.",TEXT_FILL
semantic/border-danger,color,dark,{primitive/red/400},Outline of an invalid input (≥5.4:1 on its ground). ADDED.,STROKE_COLOR
semantic/bg-input,color,dark,{primitive/zinc/900},"Text fields, selects, textareas. Always paired with a 1px aura-border-control outline. ADDED.",FRAME_FILL
semantic/bg-input-disabled,color,dark,{primitive/zinc/950},Disabled and read-only inputs; text on it stays aura-fg-secondary. ADDED.,FRAME_FILL
semantic/bg-scrim,color,dark,"rgba(0,0,0,0.64)",The dimmed layer behind a Dialog. ADDED.,FRAME_FILL
semantic/alert-info-bg,color,dark,#2c283a,Info alert fill. ADDED.,ALL_FILLS
semantic/alert-info-fg,color,dark,{primitive/violet/300},"Info alert title and icon: 8.2:1 light, 7.7:1 dark. Body text on the fill stays aura-fg-primary.",ALL_FILLS
semantic/alert-info-border,color,dark,#514674,Info alert 1px edge (decorative).,ALL_FILLS
semantic/alert-success-bg,color,dark,#27311a,Success alert fill. ADDED.,ALL_FILLS
semantic/alert-success-fg,color,dark,{primitive/lime/300},"Success alert title and icon: 6.8:1 light, 10.4:1 dark.",ALL_FILLS
semantic/alert-success-border,color,dark,#436019,Success alert 1px edge (decorative).,ALL_FILLS
semantic/alert-warning-bg,color,dark,#372b19,Warning alert fill. ADDED.,ALL_FILLS
semantic/alert-warning-fg,color,dark,{primitive/amber/300},"Warning alert title and icon: 6.8:1 light, 9.6:1 dark.",ALL_FILLS
semantic/alert-warning-border,color,dark,#704e15,Warning alert 1px edge (decorative).,ALL_FILLS
semantic/alert-danger-bg,color,dark,#361e21,Danger alert fill. ADDED.,ALL_FILLS
semantic/alert-danger-fg,color,dark,{primitive/red/300},"Danger alert title and icon: 5.9:1 light, 8.1:1 dark.",ALL_FILLS
semantic/alert-danger-border,color,dark,#6e2a2b,Danger alert 1px edge (decorative).,ALL_FILLS
semantic/fg-positive,color,dark,{primitive/lime/300},"Rising-and-good numbers (Stat change, positive deltas) on aura-bg-surface / -canvas. Never on lime fills. ADDED 4.3.",TEXT_FILL
semantic/chart-1,color,dark,#bba9ff,"Categorical chart colours chart-1…8, in this order: violet, teal, orange, blue, magenta, green, gold, rose. Every one is ≥3:1 on bg-surface and bg-canvas in both themes (WCAG 1.4.11), and neighbours alternate dark/mid lightness (about 2:1 apart) so they stay apart under colour-blindness. chart-1 follows the brand in createTheme. Label series too; colour is never the only cue. ADDED 4.10.",ALL_FILLS
semantic/chart-2,color,dark,#0a8b7a,,ALL_FILLS
semantic/chart-3,color,dark,#fe9c63,,ALL_FILLS
semantic/chart-4,color,dark,#057ed8,,ALL_FILLS
semantic/chart-5,color,dark,#ff91d1,,ALL_FILLS
semantic/chart-6,color,dark,#2a8e02,,ALL_FILLS
semantic/chart-7,color,dark,#e4ac06,,ALL_FILLS
semantic/chart-8,color,dark,#e23d4e,,ALL_FILLS
semantic/chart-seq-1,color,dark,#784cd6,Sequential ramp chart-seq-1…5 (low → high) for heatmaps and ordered buckets. seq-1 is the value closest to the surface; every step ≥3:1 on bg-surface. Brand hue in createTheme. ADDED 4.10.,ALL_FILLS
semantic/chart-seq-2,color,dark,#8f67f2,,ALL_FILLS
semantic/chart-seq-3,color,dark,#a78bfe,,ALL_FILLS
semantic/chart-seq-4,color,dark,#c1b1fe,,ALL_FILLS
semantic/chart-seq-5,color,dark,#dcd5fe,,ALL_FILLS
semantic/chart-grid,color,dark,{primitive/zinc/800},"Chart grid lines. Decorative, no contrast target. ADDED 4.10.",ALL_FILLS
semantic/chart-axis,color,dark,{primitive/zinc/400},"Axis lines, ticks and tick labels (text: 4.5:1 on bg-surface and bg-canvas). ADDED 4.10.",ALL_FILLS
component/button-primary-bg,color,light,{primitive/zinc/900},"Component: Enterprise (primary) button fill — ink in light, white in dark, as the Storybook story renders it (tokens.json pins it to the light value, which disappears on the dark surface).",ALL_FILLS
component/button-primary-fg,color,light,{primitive/zinc/0},Component: primary button label on aura-button-primary-bg (17.7:1 both themes).,ALL_FILLS
component/button-primary-bg-hover,color,light,{primitive/zinc/800},"Component: primary button hover. Light zinc-800 is the source value; dark zinc-200 is an ADDED value (the source has none — its zinc-800 hover hides the dark label at 1.19:1). Label 14.9:1 light, 14.0:1 dark.",ALL_FILLS
component/button-secondary-border,color,light,{primitive/zinc/450},"Component: secondary button (and secondary Button links) 1px edge. ≥3:1 on aura-bg-surface and -canvas in both themes (zinc-450 light 3.1–3.3:1, zinc-500 dark 3.7–4.1:1), so the pill is visible without its label. ADDED 4.7.1 (was aura-border-default, ~1.3:1).",ALL_FILLS
component/button-danger-bg,color,light,{primitive/red/700},"Component: variant='danger' fill — red-700 light (white label 6.5:1), red-600 dark (4.8:1; red-700 would sink to 2.7:1 against the dark surface). Only for irreversible or destructive actions — usually the confirm button of a Dialog role='alertdialog'. ADDED 4.10.",ALL_FILLS
component/button-danger-bg-hover,color,light,{primitive/red/800},"Component: danger button hover — red-800 light, red-700 dark (white label ≥6.5:1). ADDED 4.10.",ALL_FILLS
component/button-danger-fg,color,light,{primitive/white},Component: label on the danger fill. ADDED 4.10.,ALL_FILLS
component/button-creative-bg,color,light,{primitive/white},Component: Creative button fill (white in every theme). Label in aura-ink.,ALL_FILLS
component/button-creative-border,color,light,{primitive/zinc/900},Component: Creative button 2px border.,ALL_FILLS
component/card-border,color,light,{primitive/zinc/200},Component: card outline (light value; use aura-border-default where the card must follow theme).,ALL_FILLS
component/progress-track,color,light,{semantic/bg-skeleton},Empty part of Progress and FileUpload bars (fill). Its edge carries the 3:1. ADDED 4.11.,ALL_FILLS
component/progress-track-edge,color,light,{component/button-secondary-border},"1px inset edge of Progress / upload tracks: ≥3:1 on bg-surface and bg-canvas in both themes (WCAG 1.4.11), so the track reads without the fill. ADDED 4.11.",ALL_FILLS
component/button-primary-bg,color,dark,{primitive/zinc/0},"Component: Enterprise (primary) button fill — ink in light, white in dark, as the Storybook story renders it (tokens.json pins it to the light value, which disappears on the dark surface).",ALL_FILLS
component/button-primary-fg,color,dark,{primitive/zinc/900},Component: primary button label on aura-button-primary-bg (17.7:1 both themes).,ALL_FILLS
component/button-primary-bg-hover,color,dark,{primitive/zinc/200},"Component: primary button hover. Light zinc-800 is the source value; dark zinc-200 is an ADDED value (the source has none — its zinc-800 hover hides the dark label at 1.19:1). Label 14.9:1 light, 14.0:1 dark.",ALL_FILLS
